iteration,board,shutter_size,max_moves,max_heuristic_comp,heuristic_name,heuristic,layers,interaction,exponent,potential,neighborhood,opponent,numberOfNodes,numberOfHeuristicComp,answer,correct,o_misses,x_misses,exploredNodes
59,10_easy_pruned,1,100000,1000,shutter,blocking,False,True,2,square,2,True,21,619.0,20,1,0.0,0.0,"[[0.0, 0.0, 0.0, 0.0, -1e-05, -2e-05, -2e-05, 0.0, 0.0, 0.125], [0.0, 0.0, 0.0, 0.0, -2e-05, -1e-05, -1e-05, -1e-05, 0.0625, 0.0625], [0.0, 0.0, 0.0, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.0, 0.0625], [0.0, 0.0, 0.0, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.0, 0.0, -1e-05, 0.0, -2e-05, -2e-05, 0.0, 0.0, -1e-05], [-1e-05, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0625, 0.125], [-1e-05, -1e-05, 0.0, 0.0, 0.0625, 0.125, 0.0, 0.0, 0.0, 0.0625], [-2e-05, -2e-05, 0.0, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.0625], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0625, -2e-05, -2e-05, -2e-05, 0.0, 0.0]]"
59,10_easy_full,2,100000,1000,shutter,blocking,False,True,2,square,2,True,29,1008.0,50,1,0.0,0.0,"[[0.06451612903225806, 0.06451612903225806, 0.06451612903225806, 0.06451612903225806, -1e-05, 0.0, -2e-05, 0.06451612903225806, 0.0, 0.06451612903225806], [0.0, 0.0, 0.0, 0.0, -2e-05, -1e-05, -1e-05, -1e-05, 0.0, 0.06451612903225806], [0.0, 0.0, 0.0, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.0, 0.06451612903225806], [0.0, 0.0, 0.0, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.0, 0.0, -1e-05, 0.0, -2e-05, -2e-05, 0.0, 0.0, 0.03225806451612903], [-1e-05, 0.0, 0.0, 0.0, 0.0967741935483871, 0.0, 0.0, 0.0, 0.03225806451612903, 0.06451612903225806], [-1e-05, -1e-05, 0.0, 0.0, 0.0, 0.0967741935483871, 0.0, 0.03225806451612903, 0.0, 0.0], [-2e-05, -2e-05, 0.0, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.03225806451612903], [0.0, 0.0, 0.0, 0.0, 0.0, 0.03225806451612903, -1e-05, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.06451612903225806, -2e-05, -2e-05, -2e-05, 0.0, 0.0]]"
59,10_easy_pruned,2,100000,1000,shutter,blocking,False,True,2,square,2,True,21,881.0,20,1,0.0,0.0,"[[0.0, 0.0, 0.0, 0.0, -1e-05, -2e-05, -2e-05, 0.0, 0.0, 0.0625], [0.0, 0.0, 0.0, 0.0, -2e-05, -1e-05, -1e-05, -1e-05, 0.0, 0.0625], [0.0, 0.0, 0.0, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.0, 0.125], [0.0, 0.0, 0.0, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.0, 0.0, -1e-05, 0.0, -2e-05, -2e-05, 0.0, 0.0625, -1e-05], [-1e-05, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0625, 0.125], [-1e-05, -1e-05, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0625, 0.0, 0.0], [-2e-05, -2e-05, 0.0, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.0625], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0625, -1e-05, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0625, -2e-05, -2e-05, -2e-05, 0.0, 0.0]]"
60,10_easy_full,0,100000,1000,shutter,blocking,False,True,2,square,2,True,72,638.0,50,1,0.0,0.0,"[[0.034482758620689655, 0.034482758620689655, 0.034482758620689655, 0.034482758620689655, -1e-05, 0.0, -2e-05, 0.034482758620689655, 0.0, 0.06896551724137931], [0.0, 0.0, 0.0, 0.0, -2e-05, -1e-05, -1e-05, -1e-05, 0.034482758620689655, 0.06896551724137931], [0.0, 0.0, 0.0, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.0, 0.08620689655172414], [0.0, 0.0, 0.0, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.0, 0.0, -1e-05, 0.0, -2e-05, -2e-05, 0.017241379310344827, 0.0, 0.017241379310344827], [-1e-05, 0.0, 0.0, 0.017241379310344827, 0.017241379310344827, 0.0, 0.06896551724137931, 0.0, 0.017241379310344827, 0.06896551724137931], [-1e-05, -1e-05, 0.0, 0.0, 0.0, 0.08620689655172414, 0.0, 0.017241379310344827, 0.017241379310344827, 0.08620689655172414], [-2e-05, -2e-05, 0.0, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.05172413793103448], [0.0, 0.0, 0.0, 0.017241379310344827, 0.0, 0.017241379310344827, -1e-05, 0.0, 0.0, 0.034482758620689655], [0.0, 0.0, 0.0, 0.0, 0.017241379310344827, -2e-05, -2e-05, -2e-05, 0.0, 0.0]]"
60,10_easy_pruned,0,100000,1000,shutter,blocking,False,True,2,square,2,True,22,240.0,20,1,0.0,0.0,"[[0.0, 0.0, 0.0, 0.0, -1e-05, -2e-05, -2e-05, 0.0, 0.058823529411764705, 0.11764705882352941], [0.0, 0.0, 0.0, 0.0, -2e-05, -1e-05, -1e-05, -1e-05, 0.0, 0.058823529411764705], [0.0, 0.0, 0.0, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.0, 0.11764705882352941], [0.0, 0.0, 0.0, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.0, 0.0, -1e-05, 0.0, -2e-05, -2e-05, 0.0, 0.0, -1e-05], [-1e-05, 0.0, 0.0, 0.0, 0.058823529411764705, 0.0, 0.058823529411764705, 0.0, 0.0, 0.11764705882352941], [-1e-05, -1e-05, 0.0, 0.0, 0.0, 0.11764705882352941, 0.0, 0.0, 0.0, 0.11764705882352941], [-2e-05, -2e-05, 0.0, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.058823529411764705], [0.0, 0.0, 0.0, 0.0, 0.0, 0.058823529411764705, -1e-05, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.058823529411764705, -2e-05, -2e-05, -2e-05, 0.0, 0.0]]"
60,10_easy_full,1,100000,1000,shutter,blocking,False,True,2,square,2,True,34,1002.0,50,1,0.0,0.0,"[[0.05714285714285714, 0.05714285714285714, 0.05714285714285714, 0.05714285714285714, -1e-05, 0.0, -2e-05, 0.02857142857142857, 0.0, 0.05714285714285714], [0.0, 0.0, 0.0, 0.0, -2e-05, -1e-05, -1e-05, -1e-05, 0.02857142857142857, 0.02857142857142857], [0.0, 0.0, 0.0, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.0, 0.05714285714285714], [0.0, 0.0, 0.02857142857142857, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.0, 0.0, -1e-05, 0.0, -2e-05, -2e-05, 0.0, 0.0, 0.02857142857142857], [-1e-05, 0.0, 0.0, 0.0, 0.08571428571428572, 0.0, 0.0, 0.0, 0.02857142857142857, 0.05714285714285714], [-1e-05, -1e-05, 0.0, 0.0, 0.02857142857142857, 0.11428571428571428, 0.0, 0.0, 0.0, 0.02857142857142857], [-2e-05, -2e-05, 0.0, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.02857142857142857], [0.0, 0.0, 0.0, 0.02857142857142857, 0.0, 0.02857142857142857, -1e-05, 0.02857142857142857, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.05714285714285714, -2e-05, -2e-05, -2e-05, 0.0, 0.0]]"
60,10_easy_pruned,1,100000,1000,shutter,blocking,False,True,2,square,2,True,21,644.0,20,1,0.0,0.0,"[[0.0, 0.0, 0.0, 0.0, -1e-05, -2e-05, -2e-05, 0.0, 0.0, 0.125], [0.0, 0.0, 0.0, 0.0, -2e-05, -1e-05, -1e-05, -1e-05, 0.0, 0.0625], [0.0, 0.0, 0.0, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.0, 0.125], [0.0, 0.0, 0.0, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.0, 0.0, -1e-05, 0.0, -2e-05, -2e-05, 0.0, 0.0625, -1e-05], [-1e-05, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0625, 0.125], [-1e-05, -1e-05, 0.0, 0.0, 0.0625, 0.125, 0.0, 0.0, 0.0, 0.0], [-2e-05, -2e-05, 0.0, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.0625], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0625, -2e-05, -2e-05, -2e-05, 0.0, 0.0]]"
60,10_easy_full,2,100000,1000,shutter,blocking,False,True,2,square,2,True,30,1018.0,50,1,0.0,0.0,"[[0.06451612903225806, 0.06451612903225806, 0.06451612903225806, 0.06451612903225806, -1e-05, 0.0, -2e-05, 0.06451612903225806, 0.0, 0.06451612903225806], [0.0, 0.0, 0.0, 0.0, -2e-05, -1e-05, -1e-05, -1e-05, 0.03225806451612903, 0.03225806451612903], [0.0, 0.0, 0.0, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.0, 0.06451612903225806], [0.0, 0.0, 0.0, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.0, 0.0, -1e-05, 0.03225806451612903, -2e-05, -2e-05, 0.0, 0.0, 0.03225806451612903], [-1e-05, 0.0, 0.0, 0.0, 0.0967741935483871, 0.0, 0.0, 0.0, 0.03225806451612903, 0.06451612903225806], [-1e-05, -1e-05, 0.0, 0.0, 0.0, 0.0967741935483871, 0.0, 0.03225806451612903, 0.0, 0.0], [-2e-05, -2e-05, 0.0, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.03225806451612903], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.06451612903225806, -2e-05, -2e-05, -2e-05, 0.0, 0.0]]"
60,10_easy_pruned,2,100000,1000,shutter,blocking,False,True,2,square,2,True,21,812.0,20,1,0.0,0.0,"[[0.0, 0.0, 0.0, 0.0, -1e-05, -2e-05, -2e-05, 0.0, 0.0, 0.125], [0.0, 0.0, 0.0, 0.0, -2e-05, -1e-05, -1e-05, -1e-05, 0.0, 0.0625], [0.0, 0.0, 0.0, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.0, 0.125], [0.0, 0.0, 0.0, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.0, 0.0, -1e-05, 0.0, -2e-05, -2e-05, 0.0, 0.0, -1e-05], [-1e-05, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0625, 0.125], [-1e-05, -1e-05, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0625, 0.0, 0.0], [-2e-05, -2e-05, 0.0, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.0625], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0625, -1e-05, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0625, -2e-05, -2e-05, -2e-05, 0.0, 0.0]]"
61,10_easy_full,0,100000,1000,shutter,blocking,False,True,2,square,2,True,71,646.0,50,1,0.0,0.0,"[[0.03508771929824561, 0.03508771929824561, 0.03508771929824561, 0.03508771929824561, -1e-05, 0.0, -2e-05, 0.03508771929824561, 0.0, 0.07017543859649122], [0.0, 0.0, 0.0, 0.0, -2e-05, -1e-05, -1e-05, -1e-05, 0.03508771929824561, 0.05263157894736842], [0.0, 0.0, 0.0, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.0, 0.08771929824561403], [0.0, 0.0, 0.0, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.0, 0.0, -1e-05, 0.0, -2e-05, -2e-05, 0.017543859649122806, 0.017543859649122806, 0.017543859649122806], [-1e-05, 0.0, 0.0, 0.0, 0.017543859649122806, 0.0, 0.05263157894736842, 0.0, 0.017543859649122806, 0.07017543859649122], [-1e-05, -1e-05, 0.0, 0.0, 0.017543859649122806, 0.08771929824561403, 0.0, 0.017543859649122806, 0.0, 0.08771929824561403], [-2e-05, -2e-05, 0.0, 0.0, 0.0, 0.017543859649122806, -1e-05, 0.017543859649122806, 0.0, 0.05263157894736842], [0.0, 0.0, 0.0, 0.0, 0.0, 0.017543859649122806, -1e-05, 0.0, 0.0, 0.03508771929824561], [0.0, 0.0, 0.0, 0.0, 0.017543859649122806, -2e-05, -2e-05, -2e-05, 0.0, 0.0]]"
61,10_easy_pruned,0,100000,1000,shutter,blocking,False,True,2,square,2,True,22,241.0,20,1,0.0,0.0,"[[0.0, 0.058823529411764705, 0.0, 0.0, -1e-05, -2e-05, -2e-05, 0.0, 0.0, 0.11764705882352941], [0.0, 0.0, 0.0, 0.0, -2e-05, -1e-05, -1e-05, -1e-05, 0.0, 0.058823529411764705], [0.0, 0.0, 0.058823529411764705, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.0, 0.058823529411764705], [0.0, 0.0, 0.0, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.0, 0.0, -1e-05, 0.0, -2e-05, -2e-05, 0.0, 0.0, -1e-05], [-1e-05, 0.0, 0.0, 0.0, 0.058823529411764705, 0.0, 0.058823529411764705, 0.0, 0.0, 0.11764705882352941], [-1e-05, -1e-05, 0.0, 0.0, 0.0, 0.11764705882352941, 0.0, 0.0, 0.0, 0.11764705882352941], [-2e-05, -2e-05, 0.0, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.058823529411764705], [0.0, 0.0, 0.0, 0.0, 0.0, 0.058823529411764705, -1e-05, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.058823529411764705, -2e-05, -2e-05, -2e-05, 0.0, 0.0]]"
61,10_easy_full,1,100000,1000,shutter,blocking,False,True,2,square,2,True,38,1005.0,50,1,0.0,0.0,"[[0.024390243902439025, 0.024390243902439025, 0.024390243902439025, 0.024390243902439025, -1e-05, 0.0, -2e-05, 0.024390243902439025, 0.0, 0.04878048780487805], [0.0, 0.0, 0.0, 0.0, -2e-05, -1e-05, -1e-05, -1e-05, 0.04878048780487805, 0.0975609756097561], [0.0, 0.0, 0.0, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.0, 0.04878048780487805], [0.0, 0.0, 0.0, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.0, 0.0, -1e-05, 0.0, -2e-05, -2e-05, 0.0, 0.04878048780487805, 0.024390243902439025], [-1e-05, 0.0, 0.0, 0.0, 0.07317073170731707, 0.0, 0.0, 0.0, 0.07317073170731707, 0.12195121951219512], [-1e-05, -1e-05, 0.0, 0.0, 0.04878048780487805, 0.0975609756097561, 0.0, 0.0, 0.0, 0.04878048780487805], [-2e-05, -2e-05, 0.0, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.04878048780487805], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.04878048780487805, -2e-05, -2e-05, -2e-05, 0.0, 0.0]]"
61,10_easy_pruned,1,100000,1000,shutter,blocking,False,True,2,square,2,True,21,644.0,20,1,0.0,0.0,"[[0.0, 0.0, 0.0, 0.0, -1e-05, -2e-05, -2e-05, 0.0, 0.0, 0.125], [0.0, 0.0, 0.0, 0.0, -2e-05, -1e-05, -1e-05, -1e-05, 0.0, 0.0625], [0.0, 0.0, 0.0, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.0, 0.125], [0.0, 0.0, 0.0, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.0, 0.0, -1e-05, 0.0, -2e-05, -2e-05, 0.0, 0.0625, -1e-05], [-1e-05, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0625, 0.125], [-1e-05, -1e-05, 0.0, 0.0, 0.0625, 0.125, 0.0, 0.0, 0.0, 0.0], [-2e-05, -2e-05, 0.0, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.0625], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0625, -2e-05, -2e-05, -2e-05, 0.0, 0.0]]"
61,10_easy_full,2,100000,1000,shutter,blocking,False,True,2,square,2,True,28,1056.0,50,1,0.0,0.0,"[[0.06451612903225806, 0.06451612903225806, 0.06451612903225806, 0.06451612903225806, -1e-05, 0.0, -2e-05, 0.06451612903225806, 0.0, 0.03225806451612903], [0.0, 0.0, 0.0, 0.0, -2e-05, -1e-05, -1e-05, -1e-05, 0.0, 0.06451612903225806], [0.0, 0.0, 0.0, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.0, 0.06451612903225806], [0.0, 0.0, 0.0, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.0, 0.0, -1e-05, 0.0, -2e-05, -2e-05, 0.0, 0.0, 0.03225806451612903], [-1e-05, 0.0, 0.0, 0.0, 0.0967741935483871, 0.0, 0.0, 0.0, 0.03225806451612903, 0.06451612903225806], [-1e-05, -1e-05, 0.0, 0.0, 0.0, 0.0967741935483871, 0.0, 0.03225806451612903, 0.0, 0.03225806451612903], [-2e-05, -2e-05, 0.0, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.03225806451612903], [0.0, 0.0, 0.0, 0.0, 0.0, 0.03225806451612903, -1e-05, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.06451612903225806, -2e-05, -2e-05, -2e-05, 0.0, 0.0]]"
61,10_easy_pruned,2,100000,1000,shutter,blocking,False,True,2,square,2,True,21,812.0,20,1,0.0,0.0,"[[0.0, 0.0, 0.0, 0.0, -1e-05, -2e-05, -2e-05, 0.0, 0.0, 0.125], [0.0, 0.0, 0.0, 0.0, -2e-05, -1e-05, -1e-05, -1e-05, 0.0, 0.0625], [0.0, 0.0, 0.0, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.0, 0.125], [0.0, 0.0, 0.0, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.0, 0.0, -1e-05, 0.0, -2e-05, -2e-05, 0.0, 0.0, -1e-05], [-1e-05, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0625, 0.125], [-1e-05, -1e-05, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0625, 0.0, 0.0], [-2e-05, -2e-05, 0.0, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.0625], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0625, -1e-05, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0625, -2e-05, -2e-05, -2e-05, 0.0, 0.0]]"
62,10_easy_full,0,100000,1000,shutter,blocking,False,True,2,square,2,True,73,644.0,50,1,0.0,0.0,"[[0.03389830508474576, 0.03389830508474576, 0.03389830508474576, 0.05084745762711865, -1e-05, 0.0, -2e-05, 0.03389830508474576, 0.0, 0.06779661016949153], [0.0, 0.0, 0.0, 0.0, -2e-05, -1e-05, -1e-05, -1e-05, 0.01694915254237288, 0.06779661016949153], [0.0, 0.0, 0.0, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.0, 0.0847457627118644], [0.0, 0.0, 0.0, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.0, 0.0, -1e-05, 0.0, -2e-05, -2e-05, 0.01694915254237288, 0.0, 0.01694915254237288], [-1e-05, 0.0, 0.0, 0.0, 0.01694915254237288, 0.0, 0.06779661016949153, 0.0, 0.01694915254237288, 0.06779661016949153], [-1e-05, -1e-05, 0.0, 0.0, 0.0, 0.1016949152542373, 0.01694915254237288, 0.01694915254237288, 0.0, 0.0847457627118644], [-2e-05, -2e-05, 0.0, 0.0, 0.0, 0.0, -1e-05, 0.01694915254237288, 0.0, 0.05084745762711865], [0.0, 0.0, 0.0, 0.0, 0.0, 0.01694915254237288, -1e-05, 0.0, 0.0, 0.03389830508474576], [0.0, 0.0, 0.0, 0.0, 0.01694915254237288, -2e-05, -2e-05, -2e-05, 0.01694915254237288, 0.0]]"
62,10_easy_pruned,0,100000,1000,shutter,blocking,False,True,2,square,2,True,22,255.0,20,1,0.0,0.0,"[[0.0, 0.0, 0.0, 0.0, -1e-05, -2e-05, -2e-05, 0.0, 0.0, 0.11764705882352941], [0.0, 0.0, 0.0, 0.0, -2e-05, -1e-05, -1e-05, -1e-05, 0.0, 0.058823529411764705], [0.0, 0.0, 0.0, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.0, 0.11764705882352941], [0.0, 0.0, 0.058823529411764705, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.0, 0.0, -1e-05, 0.0, -2e-05, -2e-05, 0.0, 0.0, -1e-05], [-1e-05, 0.0, 0.0, 0.0, 0.058823529411764705, 0.0, 0.058823529411764705, 0.058823529411764705, 0.0, 0.11764705882352941], [-1e-05, -1e-05, 0.0, 0.0, 0.0, 0.11764705882352941, 0.0, 0.0, 0.0, 0.11764705882352941], [-2e-05, -2e-05, 0.0, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.058823529411764705], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.058823529411764705, -2e-05, -2e-05, -2e-05, 0.0, 0.0]]"
62,10_easy_full,1,100000,1000,shutter,blocking,False,True,2,square,2,True,34,1000.0,50,1,0.0,0.0,"[[0.05714285714285714, 0.05714285714285714, 0.05714285714285714, 0.05714285714285714, -1e-05, 0.0, -2e-05, 0.02857142857142857, 0.0, 0.05714285714285714], [0.0, 0.0, 0.0, 0.0, -2e-05, -1e-05, -1e-05, -1e-05, 0.02857142857142857, 0.05714285714285714], [0.0, 0.0, 0.0, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.0, 0.05714285714285714], [0.0, 0.0, 0.02857142857142857, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.0, 0.0, -1e-05, 0.0, -2e-05, -2e-05, 0.0, 0.0, 0.02857142857142857], [-1e-05, 0.0, 0.0, 0.0, 0.08571428571428572, 0.0, 0.0, 0.0, 0.02857142857142857, 0.05714285714285714], [-1e-05, -1e-05, 0.0, 0.0, 0.02857142857142857, 0.11428571428571428, 0.0, 0.0, 0.0, 0.02857142857142857], [-2e-05, -2e-05, 0.0, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.02857142857142857], [0.0, 0.0, 0.0, 0.02857142857142857, 0.0, 0.0, -1e-05, 0.02857142857142857, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.05714285714285714, -2e-05, -2e-05, -2e-05, 0.0, 0.0]]"
62,10_easy_pruned,1,100000,1000,shutter,blocking,False,True,2,square,2,True,21,644.0,20,1,0.0,0.0,"[[0.0, 0.0, 0.0, 0.0, -1e-05, -2e-05, -2e-05, 0.0, 0.0, 0.125], [0.0, 0.0, 0.0, 0.0, -2e-05, -1e-05, -1e-05, -1e-05, 0.0, 0.0625], [0.0, 0.0, 0.0, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.0, 0.125], [0.0, 0.0, 0.0, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.0, 0.0, -1e-05, 0.0, -2e-05, -2e-05, 0.0, 0.0625, -1e-05], [-1e-05, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0625, 0.125], [-1e-05, -1e-05, 0.0, 0.0, 0.0625, 0.125, 0.0, 0.0, 0.0, 0.0], [-2e-05, -2e-05, 0.0, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.0625], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0625, -2e-05, -2e-05, -2e-05, 0.0, 0.0]]"
62,10_easy_full,2,100000,1000,shutter,blocking,False,True,2,square,2,True,28,1000.0,50,1,0.0,0.0,"[[0.06451612903225806, 0.06451612903225806, 0.06451612903225806, 0.06451612903225806, -1e-05, 0.0, -2e-05, 0.06451612903225806, 0.0, 0.06451612903225806], [0.0, 0.0, 0.0, 0.0, -2e-05, -1e-05, -1e-05, -1e-05, 0.0, 0.06451612903225806], [0.0, 0.0, 0.0, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.0, 0.06451612903225806], [0.0, 0.0, 0.0, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.0, 0.0, -1e-05, 0.0, -2e-05, -2e-05, 0.0, 0.0, 0.03225806451612903], [-1e-05, 0.0, 0.0, 0.0, 0.0967741935483871, 0.0, 0.0, 0.0, 0.03225806451612903, 0.06451612903225806], [-1e-05, -1e-05, 0.0, 0.0, 0.03225806451612903, 0.0967741935483871, 0.0, 0.03225806451612903, 0.0, 0.0], [-2e-05, -2e-05, 0.0, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.03225806451612903], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.06451612903225806, -2e-05, -2e-05, -2e-05, 0.0, 0.0]]"
62,10_easy_pruned,2,100000,1000,shutter,blocking,False,True,2,square,2,True,21,815.0,20,1,0.0,0.0,"[[0.0, 0.0, 0.0, 0.0, -1e-05, -2e-05, -2e-05, 0.0, 0.0, 0.125], [0.0, 0.0, 0.0, 0.0, -2e-05, -1e-05, -1e-05, -1e-05, 0.0, 0.0625], [0.0, 0.0, 0.0, -1e-05, -2e-05, -2e-05, -2e-05, -1e-05, 0.0, 0.125], [0.0, 0.0, 0.0, -2e-05, -2e-05, -1e-05, -1e-05, -2e-05, -1e-05, -1e-05], [-2e-05, 0.0, 0.0, -1e-05, 0.0, -2e-05, -2e-05, 0.0, 0.0, -1e-05], [-1e-05, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0625, 0.125], [-1e-05, -1e-05, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0625, 0.0, 0.0], [-2e-05, -2e-05, 0.0, 0.0, 0.0, 0.0, -1e-05, 0.0, 0.0, 0.0625], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0625, -1e-05, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0625, -2e-05, -2e-05, -2e-05, 0.0, 0.0]]"
