userid,key,value,boardSize,boardType,condition,time
c8a4fa50,undo,"[[0,2,0,0,1,0],[0,2,1,2,0,0],[0,1,0,0,0,0],[0,1,0,2,0,0],[0,1,0,0,0,0],[0,2,0,0,2,0]]",6,full,hard,1.51E+12
c8a4fa50,click,"[[0,2,0,1,1,0],[0,2,1,2,0,0],[0,1,0,0,0,0],[0,1,0,2,0,0],[0,1,0,0,0,0],[0,2,0,0,2,0]]",6,full,hard,1.51E+12
c8a4fa50,clickPos,0_3_1,6,full,hard,1.51E+12
c8a4fa50,click,"[[0,2,0,1,1,0],[0,2,1,2,0,0],[0,1,0,0,0,0],[2,1,0,2,0,0],[0,1,0,0,0,0],[0,2,0,0,2,0]]",6,full,hard,1.51E+12
c8a4fa50,clickPos,3_0_2,6,full,hard,1.51E+12
c8a4fa50,clickPos,2_2_1,6,full,hard,1.51E+12
c8a4fa50,click,"[[0,2,0,1,1,0],[0,2,1,2,0,0],[0,1,1,0,0,0],[2,1,0,2,0,0],[0,1,0,0,0,0],[0,2,0,0,2,0]]",6,full,hard,1.51E+12
c8a4fa50,clickPos,2_3_2,6,full,hard,1.51E+12
c8a4fa50,click,"[[0,2,0,1,1,0],[0,2,1,2,0,0],[0,1,1,2,0,0],[2,1,0,2,0,0],[0,1,0,0,0,0],[0,2,0,0,2,0]]",6,full,hard,1.51E+12
c8a4fa50,clickPos,4_3_1,6,full,hard,1.51E+12
